0	SELECT COUNT(*) AS singer_count FROM singer_in_concert GROUP BY concert_id	SELECT count(*) FROM singer
1	SELECT COUNT(singer_id) FROM singer	SELECT count(*) FROM singer
0	SELECT name, country, age FROM singer ORDER BY age DESC, name	SELECT name ,  country ,  age FROM singer ORDER BY age DESC
0	SELECT name, country, age FROM singer ORDER BY age DESC, name	SELECT name ,  country ,  age FROM singer ORDER BY age DESC
1	SELECT AVG(age) AS average_age, (SELECT MIN(age) FROM singer WHERE country = 'France') AS minimum_age, (SELECT MAX(age) FROM singer WHERE country = 'France') AS maximum_age FROM singer WHERE country = 'France'	SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'
1	SELECT AVG(age) AS avg_age, MIN(age) AS min_age, MAX(age) AS max_age FROM singer WHERE country = 'France'	SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'
0	SELECT name, song_release_year FROM singer WHERE (age, song_release_year) = (SELECT MIN(age), MIN(song_release_year) FROM singer)	SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1
0	SELECT song_name, song_release_year FROM singer WHERE age IN (SELECT MIN(age) FROM singer)	SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1
1	SELECT DISTINCT s.country FROM singer s WHERE s.age > 20	SELECT DISTINCT country FROM singer WHERE age  >  20
1	SELECT DISTINCT s.country FROM singer s WHERE s.age > 20	SELECT DISTINCT country FROM singer WHERE age  >  20
0	SELECT country, COUNT(singer_id) AS singer_count FROM singer_in_concert GROUP BY country	SELECT country ,  count(*) FROM singer GROUP BY country
0	SELECT s.country, COUNT(*) AS num_singers FROM singer s JOIN singer_in_concert sic ON s.singer_id = sic.singer_id GROUP BY s.country	SELECT country ,  count(*) FROM singer GROUP BY country
1	SELECT song_name FROM singer WHERE age > (SELECT AVG(age) FROM singer) ORDER BY singer_id	SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer)
1	SELECT song_name FROM singer WHERE age > (SELECT AVG(age) FROM singer)	SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer)
1	SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000 ORDER BY location, name	SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000
1	SELECT location, name FROM stadium WHERE capacity IN (SELECT capacity FROM stadium WHERE capacity BETWEEN 5000 AND 10000)	SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000
0	SELECT MAX(capacity), AVG(capacity) FROM stadium	select max(capacity), average from stadium
0	SELECT AVG(capacity) AS average_capacity, MAX.capacity AS maximum_capacity FROM (SELECT AVG(capacity) FROM stadium), (SELECT MAX(capacity) AS capacity FROM stadium) AS MAX	select avg(capacity) ,  max(capacity) from stadium
1	SELECT name, capacity FROM stadium WHERE average = (SELECT MAX(average) FROM stadium) LIMIT 1	SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1
1	SELECT s.name, s.capacity FROM stadium s INNER JOIN (SELECT MAX(average) AS max_avg FROM stadium) m ON s.average = m.max_avg	SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1
1	SELECT COUNT(*) FROM (SELECT * FROM concert WHERE year = 2014 OR year = 2015)	SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015
0	SELECT COUNT(concert_id) FROM concert WHERE year = 2014 UNION SELECT COUNT(concert_id) FROM concert WHERE year = 2015	SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015
0	SELECT stadium.name, (SELECT COUNT(*) FROM concert WHERE concert.stadium_id = stadium.stadium_id) AS num_concerts FROM stadium ORDER BY num_concerts DESC	SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id
0	SELECT s.name, COUNT(c.concert_id) FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id GROUP BY s.name	SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id
0	SELECT s.name, s.capacity FROM stadium s WHERE s.stadium_id = (SELECT c.stadium_id FROM concert c WHERE c.year >= 2014 GROUP BY c.stadium_id HAVING COUNT(*) = (SELECT MAX(concert_count) FROM (SELECT stadium_id, COUNT(*) as concert_count FROM concert WHERE year >= 2014 GROUP BY stadium_id)))	SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1
0	SELECT name, capacity FROM stadium WHERE stadium_id = ( SELECT stadium_id FROM concert GROUP BY stadium_id HAVING COUNT(*) = ( SELECT MAX(concert_count) FROM (SELECT COUNT(*) as concert_count FROM concert WHERE year > 2013 GROUP BY stadium_id) ) )	select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1
0	SELECT year FROM (SELECT year, COUNT(*) AS num_concerts FROM concert GROUP BY year HAVING num_concerts = MAX(num_concerts)) AS max_count	SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1
0	SELECT year FROM (SELECT year, COUNT(concert_id) as num_concerts FROM concert GROUP BY year HAVING num_concerts = (SELECT MAX(num_concerts) FROM (SELECT year, COUNT(concert_id) as num_concerts FROM concert GROUP BY year)))	SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1
1	SELECT s.name FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.stadium_id IS NULL	SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
1	SELECT s.name FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id WHERE c.concert_id IS NULL	SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
0	SELECT s.country FROM singer s WHERE s.age > 40 AND EXISTS (SELECT * FROM singer WHERE age < 30 AND country = s.country)	SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30
0	SELECT s.name FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id AND c.year = 2014 WHERE c.stadium_id IS NULL	SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014
0	SELECT s.name FROM stadium s LEFT JOIN concert c ON s.stadium_id = c.stadium_id AND c.year = 2014 WHERE c.concert_id IS NULL	SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014
0	SELECT c.concert_name, c.theme, COUNT(s.singer_id) AS singer_count FROM concert c JOIN singer_in_concert s ON c.concert_id = s.concert_id GROUP BY c.concert_name, c.theme	SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id
0	SELECT concert.concert_name, concert.theme, COUNT(singer_in_concert.singer_id) as number_of_singers FROM concert JOIN singer_in_concert ON concert.concert_id = singer_in_concert.concert_id GROUP BY concert.concert_name	select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id
0	SELECT name, (SELECT COUNT(*) FROM singer_in_concert WHERE singer_id = singer.singer_id) AS num_concerts FROM singer GROUP BY name	SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id
0	SELECT name, COUNT(concert.concert_id) AS num_concerts FROM singer JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id JOIN concert ON singer_in_concert.concert_id = concert.concert_id GROUP BY name	SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id
0	SELECT singer.name FROM concert, singer_in_concert, singer WHERE concert.concert_id = singer_in_concert.concert_id AND singer_in_concert.singer_id = singer.singer_id AND concert.year = 2014 GROUP BY singer.name	SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014
