1	SELECT COUNT(*) FROM singer;	SELECT count(*) FROM singer
1	SELECT COUNT(*) FROM singer;	SELECT count(*) FROM singer
1	SELECT name, country, age FROM singer ORDER BY age DESC;	SELECT name ,  country ,  age FROM singer ORDER BY age DESC
1	SELECT singer.name, singer.country, singer.age FROM singer ORDER BY singer.age DESC;	SELECT name ,  country ,  age FROM singer ORDER BY age DESC
1	SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France';	SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'
1	SELECT AVG(age), MIN(age), MAX(age) FROM singer WHERE country = 'France';	SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'
0	SELECT singer.name, singer.song_release_year FROM singer WHERE age = ( SELECT MIN(age) FROM singer )	SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1
0	SELECT singer.name, singer.song_release_year FROM singer WHERE singer.age = ( SELECT MIN(age) FROM singer )	SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1
1	SELECT DISTINCT country FROM singer WHERE age > 20;	SELECT DISTINCT country FROM singer WHERE age  >  20
1	SELECT DISTINCT country FROM singer WHERE age > 20;	SELECT DISTINCT country FROM singer WHERE age  >  20
1	SELECT country, COUNT(*) as number_of_singers FROM singer GROUP BY country;	SELECT country ,  count(*) FROM singer GROUP BY country
1	SELECT country, COUNT(*) FROM singer GROUP BY country;	SELECT country ,  count(*) FROM singer GROUP BY country
1	SELECT song_name FROM singer WHERE age > (SELECT AVG(age) FROM singer);	SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer)
1	SELECT song_name FROM singer WHERE age > (SELECT AVG(age) FROM singer);	SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer)
1	SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000;	SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000
1	SELECT stadium.location, stadium.name FROM stadium WHERE stadium.capacity >= 5000 AND stadium.capacity <= 10000;	SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000
0	SELECT MAX(capacity), AVG(capacity) FROM stadium;	select max(capacity), average from stadium
1	SELECT AVG(capacity), MAX(capacity) FROM stadium;	select avg(capacity) ,  max(capacity) from stadium
1	SELECT name, capacity FROM stadium ORDER BY average DESC LIMIT 1;	SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1
1	SELECT stadium.name, stadium.capacity FROM stadium WHERE stadium.average = ( SELECT MAX(average) FROM stadium )	SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1
1	SELECT COUNT(*) FROM concert WHERE year = 2014 OR year = 2015;	SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015
1	SELECT COUNT(*) FROM concert WHERE year = 2014 OR year = 2015;	SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015
0	SELECT stadium.name, COUNT(concert.concert_id) AS num_concerts FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.name;	SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id
1	SELECT stadium.name, COUNT(concert.concert_id) as num_concerts FROM stadium JOIN concert ON stadium.stadium_id = concert.stadium_id GROUP BY stadium.stadium_id;	SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id
0	SELECT stadium.name, stadium.capacity FROM stadium JOIN concert ON concert.stadium_id = stadium.stadium_id WHERE concert.year >= 2014 GROUP BY stadium.name, stadium.capacity ORDER BY COUNT(concert.concert_id) DESC LIMIT 1;	SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1
0	SELECT stadium.name, stadium.capacity FROM stadium WHERE stadium.stadium_id IN ( SELECT concert.stadium_id FROM concert WHERE concert.year > 2013 GROUP BY concert.stadium_id HAVING COUNT(*) = ( SELECT COUNT(*) FROM concert WHERE concert.year > 2013 GROUP BY concert.stadium_id ORDER BY COUNT(*) DESC LIMIT 1 ) );	select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1
1	SELECT year FROM concert GROUP BY year ORDER BY COUNT(*) DESC LIMIT 1;	SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1
1	SELECT year from concert group by year order by count(*) desc limit 1;	SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1
1	SELECT stadium.name FROM stadium LEFT JOIN concert ON stadium.stadium_id = concert.stadium_id WHERE concert.stadium_id IS NULL;	SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
1	SELECT stadium.name FROM stadium LEFT JOIN concert ON stadium.stadium_id = concert.stadium_id WHERE concert.concert_id IS NULL;	SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
1	SELECT country FROM singer WHERE age > 40 INTERSECT SELECT country FROM singer WHERE age < 30;	SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30
0	SELECT name FROM stadium WHERE stadium_id NOT IN ( SELECT stadium_id FROM concert WHERE year = 2014 );	SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014
0	SELECT stadium.name FROM stadium WHERE stadium.stadium_id NOT IN ( SELECT concert.stadium_id FROM concert WHERE concert.year = 2014 );	SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014
0	SELECT concert.concert_name, concert.theme, COUNT(singer_in_concert.singer_id) FROM concert JOIN singer_in_concert ON concert.concert_id = singer_in_concert.concert_id GROUP BY concert.concert_name, concert.theme;	SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id
0	SELECT concert.concert_name, concert.theme, COUNT(singer_in_concert.singer_id) AS number_of_singers FROM concert JOIN singer_in_concert ON concert.concert_id = singer_in_concert.concert_id GROUP BY concert.concert_name, concert.theme;	select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id
0	SELECT singer.name, COUNT(concert.concert_id) as num_concerts FROM singer JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id JOIN concert ON concert.concert_id = singer_in_concert.concert_id GROUP BY singer.name;	SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id
0	SELECT singer.name, COUNT(singer_in_concert.concert_id) as num_concerts FROM singer INNER JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id GROUP BY singer.name;	SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id
1	SELECT name FROM singer JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id JOIN concert ON singer_in_concert.concert_id = concert.concert_id WHERE concert.year = 2014;	SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014
1	SELECT singer.name FROM singer JOIN singer_in_concert ON singer.singer_id = singer_in_concert.singer_id JOIN concert ON singer_in_concert.concert_id = concert.concert_id WHERE concert.year = 2014;	SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014
1	SELECT singer.name, singer.country FROM singer WHERE singer.song_name LIKE '%Hey%';	SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'
1	SELECT singer.name, singer.country FROM singer WHERE singer.song_name LIKE '%Hey%';	SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'
