0	SELECT COUNT(*) AS singer_count FROM singer_in_concert	SELECT count(*) FROM singer
0	SELECT COUNT(*) FROM (SELECT DISTINCT singer_id FROM singer_in_concert)	SELECT count(*) FROM singer
0	SELECT name, country, age FROM singer ORDER BY age, country	SELECT name ,  country ,  age FROM singer ORDER BY age DESC
0	SELECT DISTINCT name, country, age FROM singer ORDER BY age DESC	SELECT name ,  country ,  age FROM singer ORDER BY age DESC
1	SELECT AVG(age) AS average_age, MIN(age) AS min_age, MAX(age) AS max_age FROM singer WHERE country = 'France'	SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'
0	SELECT MIN(age) FROM singer WHERE country = 'France' GROUP BY country	SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'
0	SELECT name, song_release_year FROM singer WHERE age = (SELECT MIN(age) FROM singer) AND song_release_year = (SELECT MIN(song_release_year) FROM singer)	SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1
0	SELECT song_name, song_release_year FROM singer WHERE age = (SELECT MIN(age) FROM singer) GROUP BY song_name	SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1
0	SELECT DISTINCT s.country FROM singer s INNER JOIN singer_in_concert sic ON s.singer_id = sic.singer_id WHERE s.age > 20	SELECT DISTINCT country FROM singer WHERE age  >  20
1	SELECT DISTINCT s.country FROM singer s WHERE s.age > 20	SELECT DISTINCT country FROM singer WHERE age  >  20
0	SELECT s.country, COUNT(sc.singer_id) AS singer_count FROM singer s LEFT JOIN singer_in_concert sc ON s.singer_id = sc.singer_id GROUP BY s.country	SELECT country ,  count(*) FROM singer GROUP BY country
0	SELECT s.country, COUNT(DISTINCT sic.singer_id) AS num_singers FROM singer_in_concert sic JOIN singer s ON sic.singer_id = s.singer_id GROUP BY s.country	SELECT country ,  count(*) FROM singer GROUP BY country
1	SELECT s.song_name FROM singer s JOIN (SELECT AVG(age) as avg_age FROM singer) a WHERE s.age > a.avg_age	SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer)
0	SELECT DISTINCT song_name FROM singer WHERE age > (SELECT AVG(age) FROM singer)	SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer)
1	SELECT location, name FROM stadium WHERE capacity > 4999 AND capacity < 10001 ORDER BY location, name	SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000
1	SELECT location, name FROM stadium WHERE capacity BETWEEN 5000 AND 10000	SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000
0	SELECT MAX(capacity) AS maximum_capacity, AVG(capacity) AS average_capacity FROM stadium WHERE capacity IS NOT NULL	select max(capacity), average from stadium
